oid;typname;typlen;typtype;defined size
702;abstime;4;b;WAHR
1033;aclitem;12;b;WAHR
2276;any;4;p;WAHR
2283;anyelement;4;p;WAHR
3500;anyenum;4;p;WAHR
2776;anynonarray;4;p;WAHR
16;bool;1;b;WAHR
603;box;32;b;WAHR
13393;cardinal_number;4;d;WAHR
18;char;1;b;WAHR
29;cid;4;b;WAHR
718;circle;24;b;WAHR
1082;date;4;b;WAHR
3838;event_trigger;4;p;WAHR
3115;fdw_handler;4;p;WAHR
700;float4;4;b;WAHR
701;float8;8;b;WAHR
325;index_am_handler;4;p;WAHR
21;int2;2;b;WAHR
23;int4;4;b;WAHR
20;int8;8;b;WAHR
2281;internal;8;p;WAHR
1186;interval;16;b;WAHR
2280;language_handler;4;p;WAHR
628;line;24;b;WAHR
601;lseg;32;b;WAHR
829;macaddr;6;b;WAHR
774;macaddr8;8;b;WAHR
17092;measurand_enum;4;e;WAHR
790;money;8;b;WAHR
19;name;64;b;WAHR
26;oid;4;b;WAHR
2282;opaque;4;p;WAHR
32;pg_ddl_command;8;p;WAHR
3220;pg_lsn;8;b;WAHR
600;point;16;b;WAHR
2205;regclass;4;b;WAHR
3734;regconfig;4;b;WAHR
3769;regdictionary;4;b;WAHR
4089;regnamespace;4;b;WAHR
2203;regoper;4;b;WAHR
2204;regoperator;4;b;WAHR
24;regproc;4;b;WAHR
2202;regprocedure;4;b;WAHR
4096;regrole;4;b;WAHR
2206;regtype;4;b;WAHR
703;reltime;4;b;WAHR
210;smgr;2;b;WAHR
27;tid;6;b;WAHR
1083;time;8;b;WAHR
13400;time_stamp;8;d;WAHR
1114;timestamp;8;b;WAHR
1184;timestamptz;8;b;WAHR
1266;timetz;12;b;WAHR
704;tinterval;12;b;WAHR
2279;trigger;4;p;WAHR
3310;tsm_handler;4;p;WAHR
2950;uuid;16;b;WAHR
2278;void;4;p;WAHR
28;xid;4;b;WAHR
1183;_time;-1;b;FALSCH
1115;_timestamp;-1;b;FALSCH
1185;_timestamptz;-1;b;FALSCH
1270;_timetz;-1;b;FALSCH
1025;_tinterval;-1;b;FALSCH
2318609;_ts_interval;-1;b;FALSCH
3645;_tsquery;-1;b;FALSCH
3909;_tsrange;-1;b;FALSCH
3911;_tstzrange;-1;b;FALSCH
3643;_tsvector;-1;b;FALSCH
2949;_txid_snapshot;-1;b;FALSCH
2951;_uuid;-1;b;FALSCH
1245338;_v_actor;-1;b;FALSCH
1261729;_v_actor_state;-1;b;FALSCH
1261734;_v_actor_target_state;-1;b;FALSCH
1261738;_v_actor_target_state_easy;-1;b;FALSCH
262209;_v_current_sensor_values;-1;b;FALSCH
40986;_v_location;-1;b;FALSCH
1761428;_v_metric;-1;b;FALSCH
139415;_v_sensor_data;-1;b;FALSCH
1563;_varbit;-1;b;FALSCH
1015;_varchar;-1;b;FALSCH
1011;_xid;-1;b;FALSCH
143;_xml;-1;b;FALSCH
106511;actor;-1;c;FALSCH
106508;actor_id_seq;-1;c;FALSCH
106639;actor_log;-1;c;FALSCH
262380;actor_state;-1;c;FALSCH
106550;actor_type;-1;c;FALSCH
106547;actor_type_id_seq;-1;c;FALSCH
13408;administrable_role_authorizations;-1;c;FALSCH
2277;anyarray;-1;p;FALSCH
3831;anyrange;-1;p;FALSCH
13404;applicable_roles;-1;c;FALSCH
13411;attributes;-1;c;FALSCH
16961;bgw_job;-1;c;FALSCH
16958;bgw_job_id_seq;-1;c;FALSCH
2318659;bgw_job_stat;-1;c;FALSCH
2318521;bgw_policy_chunk_stats;-1;c;FALSCH
2318733;bgw_policy_compress_chunks;-1;c;FALSCH
2318635;bgw_policy_drop_chunks;-1;c;FALSCH
2318487;bgw_policy_reorder;-1;c;FALSCH
1560;bit;-1;b;FALSCH
1042;bpchar;-1;b;FALSCH
17;bytea;-1;b;FALSCH
2318874;cache_inval_bgw_job;-1;c;FALSCH
17073;cache_inval_extension;-1;c;FALSCH
17070;cache_inval_hypertable;-1;c;FALSCH
13395;character_data;-1;d;FALSCH
13415;character_sets;-1;c;FALSCH
13419;check_constraint_routine_usage;-1;c;FALSCH
13423;check_constraints;-1;c;FALSCH
16911;chunk;-1;c;FALSCH
16925;chunk_constraint;-1;c;FALSCH
16940;chunk_constraint_name;-1;c;FALSCH
16908;chunk_id_seq;-1;c;FALSCH
16943;chunk_index;-1;c;FALSCH
650;cidr;-1;b;FALSCH
13431;collation_character_set_applicability;-1;c;FALSCH
13427;collations;-1;c;FALSCH
13435;column_domain_usage;-1;c;FALSCH
13615;column_options;-1;c;FALSCH
13439;column_privileges;-1;c;FALSCH
13443;column_udt_usage;-1;c;FALSCH
13447;columns;-1;c;FALSCH
2318919;compressed_chunk_stats;-1;c;FALSCH
2318752;compressed_data;-1;b;FALSCH
2318924;compressed_hypertable_stats;-1;c;FALSCH
2318691;compression_algorithm;-1;c;FALSCH
2318718;compression_chunk_size;-1;c;FALSCH
13451;constraint_column_usage;-1;c;FALSCH
13455;constraint_table_usage;-1;c;FALSCH
2318536;continuous_agg;-1;c;FALSCH
2318914;continuous_aggregate_stats;-1;c;FALSCH
2318909;continuous_aggregates;-1;c;FALSCH
2318575;continuous_aggs_completed_threshold;-1;c;FALSCH
2318800;continuous_aggs_hypertable_invalidation_log;-1;c;FALSCH
2318565;continuous_aggs_invalidation_threshold;-1;c;FALSCH
2318807;continuous_aggs_materialization_invalidation_log;-1;c;FALSCH
2275;cstring;-2;p;FALSCH
13603;data_type_privileges;-1;c;FALSCH
3912;daterange;-1;r;FALSCH
16877;dimension;-1;c;FALSCH
16874;dimension_id_seq;-1;c;FALSCH
16895;dimension_slice;-1;c;FALSCH
16892;dimension_slice_id_seq;-1;c;FALSCH
13459;domain_constraints;-1;c;FALSCH
13463;domain_udt_usage;-1;c;FALSCH
13467;domains;-1;c;FALSCH
